Epoch: [2][1000/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.6459 (5.6514)	Prec@1 0.000 (0.737)	Prec@5 3.125 (3.237)
Epoch: [2][1100/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.5211 (5.6505)	Prec@1 0.000 (0.752)	Prec@5 3.125 (3.239)
Epoch: [2][1200/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.7846 (5.6505)	Prec@1 0.000 (0.749)	Prec@5 3.125 (3.226)
Epoch: [2][1300/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6392 (5.6500)	Prec@1 3.125 (0.745)	Prec@5 6.250 (3.245)
Epoch: [2][1400/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.7014 (5.6471)	Prec@1 0.000 (0.752)	Prec@5 0.000 (3.279)
Epoch: [2][1500/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6899 (5.6459)	Prec@1 0.000 (0.747)	Prec@5 3.125 (3.310)
Epoch: [2][1600/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5141 (5.6435)	Prec@1 3.125 (0.750)	Prec@5 9.375 (3.367)
Epoch: [2][1700/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.5587 (5.6395)	Prec@1 3.125 (0.772)	Prec@5 3.125 (3.465)
Epoch: [2][1800/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.4401 (5.6343)	Prec@1 0.000 (0.807)	Prec@5 12.500 (3.597)
Epoch: [2][1900/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.5500 (5.6271)	Prec@1 3.125 (0.855)	Prec@5 3.125 (3.720)
Epoch: [2][2000/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.2437 (5.6180)	Prec@1 0.000 (0.893)	Prec@5 9.375 (3.876)
Epoch: [2][2100/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.2142 (5.6081)	Prec@1 0.000 (0.942)	Prec@5 9.375 (4.064)
Epoch: [2][2200/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.3382 (5.5945)	Prec@1 0.000 (0.991)	Prec@5 6.250 (4.268)
Epoch: [2][2300/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.4120 (5.5807)	Prec@1 6.250 (1.046)	Prec@5 9.375 (4.461)
Epoch: [2][2400/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.0342 (5.5660)	Prec@1 6.250 (1.126)	Prec@5 21.875 (4.731)
Epoch: [3][0/2429]	Time 0.104 (0.104)	Data 0.095 (0.095)	Loss 5.0932 (5.0932)	Prec@1 0.000 (0.000)	Prec@5 15.625 (15.625)
Epoch: [3][100/2429]	Time 0.016 (0.017)	Data 0.000 (0.001)	Loss 5.4315 (5.1873)	Prec@1 0.000 (3.218)	Prec@5 6.250 (11.510)
Epoch: [3][200/2429]	Time 0.016 (0.017)	Data 0.000 (0.001)	Loss 5.1951 (5.1493)	Prec@1 3.125 (3.374)	Prec@5 18.750 (12.158)
Epoch: [3][300/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.9941 (5.1337)	Prec@1 0.000 (3.364)	Prec@5 9.375 (12.542)
Epoch: [3][400/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.1467 (5.1163)	Prec@1 9.375 (3.507)	Prec@5 15.625 (12.820)
Epoch: [3][500/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.9747 (5.0979)	Prec@1 3.125 (3.711)	Prec@5 18.750 (13.099)
Epoch: [3][600/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.8318 (5.0688)	Prec@1 0.000 (3.926)	Prec@5 34.375 (13.545)
Epoch: [3][700/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.1628 (5.0463)	Prec@1 0.000 (4.106)	Prec@5 9.375 (13.967)
Epoch: [3][800/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.9615 (5.0237)	Prec@1 0.000 (4.194)	Prec@5 12.500 (14.369)
Epoch: [3][900/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.1418 (5.0043)	Prec@1 3.125 (4.318)	Prec@5 9.375 (14.817)
Epoch: [3][1000/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.6846 (4.9871)	Prec@1 6.250 (4.483)	Prec@5 12.500 (15.216)
Epoch: [3][1100/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.6205 (4.9715)	Prec@1 3.125 (4.601)	Prec@5 21.875 (15.560)
Epoch: [3][1200/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.6977 (4.9512)	Prec@1 9.375 (4.769)	Prec@5 28.125 (16.065)
Epoch: [3][1300/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.5957 (4.9321)	Prec@1 12.500 (4.943)	Prec@5 28.125 (16.547)
Epoch: [3][1400/2429]	Time 0.016 (0.016)	Data 0.000 (0.000)	Loss 4.5065 (4.9142)	Prec@1 12.500 (5.090)	Prec@5 31.250 (16.881)
Epoch: [3][1500/2429]	Time 0.016 (0.016)	Data 0.000 (0.000)	Loss 4.6142 (4.8979)	Prec@1 12.500 (5.274)	Prec@5 31.250 (17.211)
Epoch: [3][1600/2429]	Time 0.017 (0.016)	Data 0.000 (0.000)	Loss 4.9003 (4.8830)	Prec@1 0.000 (5.381)	Prec@5 15.625 (17.528)
Epoch: [3][1700/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.6757 (4.8673)	Prec@1 6.250 (5.500)	Prec@5 21.875 (17.868)
Epoch: [3][1800/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.4947 (4.8510)	Prec@1 3.125 (5.669)	Prec@5 34.375 (18.252)
Epoch: [3][1900/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.6907 (4.8338)	Prec@1 9.375 (5.874)	Prec@5 18.750 (18.645)
Epoch: [3][2000/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.2464 (4.8161)	Prec@1 21.875 (6.050)	Prec@5 25.000 (19.022)
Epoch: [3][2100/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.5949 (4.7959)	Prec@1 9.375 (6.260)	Prec@5 31.250 (19.461)
Epoch: [3][2200/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.1396 (4.7782)	Prec@1 12.500 (6.449)	Prec@5 25.000 (19.907)
Epoch: [3][2300/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.5426 (4.7603)	Prec@1 15.625 (6.651)	Prec@5 37.500 (20.372)
Epoch: [3][2400/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.3237 (4.7431)	Prec@1 9.375 (6.851)	Prec@5 25.000 (20.754)
Epoch: [4][0/2429]	Time 0.108 (0.108)	Data 0.099 (0.099)	Loss 4.2278 (4.2278)	Prec@1 25.000 (25.000)	Prec@5 34.375 (34.375)
