Epoch: [2][900/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.3803 (5.5511)	Prec@1 0.000 (1.231)	Prec@5 3.125 (5.053)
Epoch: [2][1000/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.6202 (5.5408)	Prec@1 0.000 (1.277)	Prec@5 3.125 (5.282)
Epoch: [2][1100/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.4165 (5.5275)	Prec@1 0.000 (1.357)	Prec@5 6.250 (5.523)
Epoch: [2][1200/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.3564 (5.5126)	Prec@1 0.000 (1.447)	Prec@5 9.375 (5.698)
Epoch: [2][1300/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.9881 (5.4954)	Prec@1 0.000 (1.552)	Prec@5 12.500 (6.036)
Epoch: [2][1400/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.1784 (5.4791)	Prec@1 0.000 (1.675)	Prec@5 3.125 (6.355)
Epoch: [2][1500/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.4191 (5.4640)	Prec@1 6.250 (1.736)	Prec@5 15.625 (6.612)
Epoch: [2][1600/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.1537 (5.4481)	Prec@1 9.375 (1.831)	Prec@5 15.625 (6.851)
Epoch: [2][1700/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.1035 (5.4325)	Prec@1 0.000 (1.916)	Prec@5 15.625 (7.150)
Epoch: [2][1800/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 5.1160 (5.4172)	Prec@1 6.250 (2.015)	Prec@5 15.625 (7.454)
Epoch: [2][1900/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 5.3161 (5.4012)	Prec@1 0.000 (2.106)	Prec@5 6.250 (7.720)
Epoch: [2][2000/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.7182 (5.3840)	Prec@1 6.250 (2.200)	Prec@5 12.500 (8.012)
Epoch: [3][0/2092]	Time 0.134 (0.134)	Data 0.126 (0.126)	Loss 5.0695 (5.0695)	Prec@1 6.250 (6.250)	Prec@5 9.375 (9.375)
Epoch: [3][100/2092]	Time 0.016 (0.018)	Data 0.000 (0.001)	Loss 4.9675 (4.9385)	Prec@1 6.250 (5.229)	Prec@5 12.500 (16.151)
Epoch: [3][200/2092]	Time 0.016 (0.017)	Data 0.000 (0.001)	Loss 5.1164 (4.9132)	Prec@1 6.250 (5.395)	Prec@5 15.625 (16.807)
Epoch: [3][300/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.8910 (4.8890)	Prec@1 9.375 (5.554)	Prec@5 18.750 (17.390)
Epoch: [3][400/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.6979 (4.8642)	Prec@1 6.250 (5.806)	Prec@5 18.750 (18.119)
Epoch: [3][500/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.7481 (4.8387)	Prec@1 6.250 (6.100)	Prec@5 15.625 (18.719)
Epoch: [3][600/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.3829 (4.8104)	Prec@1 6.250 (6.312)	Prec@5 34.375 (19.265)
Epoch: [3][700/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.8094 (4.7829)	Prec@1 9.375 (6.705)	Prec@5 18.750 (19.994)
Epoch: [3][800/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.3015 (4.7565)	Prec@1 15.625 (6.956)	Prec@5 25.000 (20.556)
Epoch: [3][900/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.3433 (4.7268)	Prec@1 18.750 (7.287)	Prec@5 28.125 (21.213)
Epoch: [3][1000/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.2176 (4.7019)	Prec@1 3.125 (7.524)	Prec@5 28.125 (21.791)
Epoch: [3][1100/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.2513 (4.6771)	Prec@1 9.375 (7.774)	Prec@5 21.875 (22.321)
Epoch: [3][1200/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.0008 (4.6522)	Prec@1 6.250 (8.105)	Prec@5 37.500 (22.895)
Epoch: [3][1300/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.5218 (4.6228)	Prec@1 12.500 (8.414)	Prec@5 28.125 (23.554)
Epoch: [3][1400/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.8356 (4.5971)	Prec@1 6.250 (8.746)	Prec@5 21.875 (24.161)
Epoch: [3][1500/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.0659 (4.5693)	Prec@1 25.000 (9.183)	Prec@5 46.875 (24.888)
Epoch: [3][1600/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.4144 (4.5414)	Prec@1 9.375 (9.506)	Prec@5 25.000 (25.525)
Epoch: [3][1700/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.2702 (4.5150)	Prec@1 18.750 (9.854)	Prec@5 25.000 (26.139)
Epoch: [3][1800/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.6152 (4.4897)	Prec@1 15.625 (10.185)	Prec@5 28.125 (26.754)
Epoch: [3][1900/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.0704 (4.4628)	Prec@1 18.750 (10.564)	Prec@5 40.625 (27.380)
Epoch: [3][2000/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.6499 (4.4371)	Prec@1 15.625 (10.924)	Prec@5 40.625 (28.017)
Epoch: [4][0/2092]	Time 0.137 (0.137)	Data 0.130 (0.130)	Loss 3.9697 (3.9697)	Prec@1 21.875 (21.875)	Prec@5 37.500 (37.500)
Epoch: [4][100/2092]	Time 0.016 (0.018)	Data 0.000 (0.001)	Loss 3.9692 (3.7684)	Prec@1 9.375 (20.328)	Prec@5 34.375 (43.348)
Epoch: [4][200/2092]	Time 0.016 (0.017)	Data 0.000 (0.001)	Loss 3.9665 (3.7351)	Prec@1 6.250 (20.942)	Prec@5 37.500 (43.874)
Epoch: [4][300/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.3665 (3.7242)	Prec@1 18.750 (21.044)	Prec@5 56.250 (44.217)
Epoch: [4][400/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.4096 (3.6944)	Prec@1 31.250 (21.563)	Prec@5 53.125 (45.020)
Epoch: [4][500/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.2178 (3.6756)	Prec@1 18.750 (21.819)	Prec@5 56.250 (45.210)
Epoch: [4][600/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.6025 (3.6501)	Prec@1 21.875 (22.333)	Prec@5 34.375 (45.861)
Epoch: [4][700/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.1210 (3.6255)	Prec@1 12.500 (22.695)	Prec@5 34.375 (46.349)
Epoch: [4][800/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.8905 (3.6062)	Prec@1 34.375 (23.112)	Prec@5 65.625 (46.828)
Epoch: [4][900/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.6829 (3.5836)	Prec@1 21.875 (23.474)	Prec@5 43.750 (47.416)
Epoch: [4][1000/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.9607 (3.5564)	Prec@1 25.000 (23.795)	Prec@5 56.250 (47.958)
Epoch: [4][1100/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.2998 (3.5379)	Prec@1 28.125 (24.160)	Prec@5 46.875 (48.323)
Epoch: [4][1200/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.5408 (3.5124)	Prec@1 15.625 (24.581)	Prec@5 50.000 (48.847)
Epoch: [4][1300/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.7876 (3.4903)	Prec@1 25.000 (25.034)	Prec@5 46.875 (49.253)
Epoch: [4][1400/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.9750 (3.4661)	Prec@1 25.000 (25.477)	Prec@5 59.375 (49.710)
Epoch: [4][1500/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.5136 (3.4393)	Prec@1 15.625 (25.924)	Prec@5 50.000 (50.312)
Epoch: [4][1600/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.8107 (3.4163)	Prec@1 40.625 (26.353)	Prec@5 65.625 (50.824)
Epoch: [4][1700/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.6658 (3.3928)	Prec@1 40.625 (26.723)	Prec@5 65.625 (51.244)
Epoch: [4][1800/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.9621 (3.3723)	Prec@1 31.250 (27.119)	Prec@5 62.500 (51.650)
Epoch: [4][1900/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.7310 (3.3512)	Prec@1 28.125 (27.556)	Prec@5 50.000 (52.112)
Epoch: [4][2000/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.2793 (3.3318)	Prec@1 34.375 (27.986)	Prec@5 53.125 (52.468)
Epoch: [5][0/2092]	Time 0.140 (0.140)	Data 0.133 (0.133)	Loss 3.3553 (3.3553)	Prec@1 31.250 (31.250)	Prec@5 50.000 (50.000)
Epoch: [5][100/2092]	Time 0.016 (0.018)	Data 0.000 (0.001)	Loss 2.9181 (2.7732)	Prec@1 34.375 (37.778)	Prec@5 71.875 (63.861)
Epoch: [5][200/2092]	Time 0.017 (0.017)	Data 0.000 (0.001)	Loss 2.7246 (2.7574)	Prec@1 34.375 (38.961)	Prec@5 53.125 (63.899)
Epoch: [5][300/2092]	Time 0.017 (0.017)	Data 0.000 (0.001)	Loss 2.7891 (2.7644)	Prec@1 40.625 (38.663)	Prec@5 75.000 (64.068)
Epoch: [5][400/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.0707 (2.7418)	Prec@1 15.625 (39.144)	Prec@5 34.375 (64.433)
Epoch: [5][500/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.5343 (2.7272)	Prec@1 50.000 (39.359)	Prec@5 65.625 (64.565)
Epoch: [5][600/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.2203 (2.7145)	Prec@1 40.625 (39.606)	Prec@5 59.375 (64.679)
Epoch: [5][700/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.2779 (2.6939)	Prec@1 43.750 (39.769)	Prec@5 75.000 (64.988)
Epoch: [5][800/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.0877 (2.6815)	Prec@1 34.375 (39.993)	Prec@5 62.500 (65.282)
Epoch: [5][900/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.1033 (2.6636)	Prec@1 43.750 (40.334)	Prec@5 71.875 (65.583)
Epoch: [5][1000/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 2.8741 (2.6521)	Prec@1 31.250 (40.619)	Prec@5 53.125 (65.750)
Epoch: [5][1100/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.2734 (2.6351)	Prec@1 53.125 (41.039)	Prec@5 68.750 (66.042)
Epoch: [5][1200/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.3387 (2.6206)	Prec@1 43.750 (41.361)	Prec@5 65.625 (66.367)
